from,to,paragraphs
a-70-266,a-hrc-23-39,9
a-70-438,a-hrc-30-42,9
a-71-318,a-70-330,9
a-72-162,e-c-12-gc-24,9
a-72-287,a-hrc-29-46,9
a-73-305,a-hrc-38-52,9
a-75-298,a-74-161,9
a-78-202,a-77-177,9
a-hrc-10-5,e-c-12-1999-5,9
a-hrc-10-9,a-hrc-4-41,9
a-hrc-29-40,a-67-287,9
a-hrc-31-66,a-hrc-20-27,9
a-hrc-33-41,crc-c-gc-16,9
a-hrc-36-41,a-hrc-33-41,9
a-hrc-37-50,cat-c-gc-4,9
a-hrc-37-58,a-hrc-37-59,9
a-hrc-41-41,a-hrc-20-27,9
a-hrc-43-43,e-1992-23,9
a-hrc-43-46,a-hrc-31-65,9
a-hrc-44-38,ccpr-c-gc-36,9
a-hrc-44-47,a-hrc-20-19,9
a-hrc-45-10,e-1991-23,9
a-hrc-47-37,a-75-207,9
a-hrc-48-55,a-hrc-31-57,9
a-hrc-50-23,a-hrc-40-52,9
a-hrc-51-27,a-hrc-40-54,9
a-hrc-53-37,a-hrc-43-48,9
a-hrc-54-26,a-76-157,9
a-hrc-56-46,a-78-255,9
a-hrc-56-46,a-hrc-54-31,9
a-hrc-56-68,a-hrc-44-57,9
a-hrc-57-42,a-hrc-37-56,9
a-hrc-57-45,a-78-535,9
a-hrc-57-48,a-76-159,9
a-hrc-57-55,a-hrc-54-23,9
a-hrc-59-52,a-hrc-42-37,9
a-hrc-62-37,a-67-279,9
a-hrc-63-29,a-hrc-57-55,9
a-hrc-63-29,a-hrc-60-36,9
a-hrc-63-36,a-77-170,9
a-hrc-7-16,e-cn-4-2002-59,9
a-hrc-7-5,e-cn-4-2006-44,9
cat-c-79-d-1055-2021,cat-c-gc-4,9
ccpr-c-105-d-1753-2008,ccpr-c-103-d-1781-2008,9
ccpr-c-105-d-1753-2008,ccpr-c-104-d-1905-2009,9
ccpr-c-136-d-3102-2018,ccpr-c-gc-35,9
ccpr-c-144-d-3136-3138-2018,ccpr-c-144-d-3136-2018,9
cedaw-c-88-d-161-2020,cedaw-c-gc-32,9
cedaw-c-gc-35,annotated-cedaw-gr19-violence,9
cerd-c-108-d-62-2018,cerd-c-gc-35,9
crc-c-85-d-37-2017,crc-gc-2005-6,9
e-cn-4-1996-40,e-cn-4-1995-31,9
e-cn-4-2001-66,e-cn-4-1999-61,9
e-cn-4-2002-60,e-cn-4-2001-52,9
a-65-258,e-cn-4-2006-98,8
a-68-542,a-hrc-20-23,8
a-68-542,a-hrc-23-37,8
a-69-397,a-hrc-23-40,8
a-71-298,a-68-295,8
a-71-304,e-c-12-2000-4,8
a-71-348,a-64-181,8
a-72-127,a-71-302,8
a-73-171,a-71-303,8
a-73-207,a-hrc-37-50,8
a-73-336,a-hrc-39-53,8
a-73-365,a-71-348,8
a-74-164,a-70-287,8
a-74-178,a-73-179,8
a-74-178,a-hrc-40-57,8
a-74-349,a-73-279,8
a-74-486,ccpr-c-gc-34,8
a-75-172,a-hrc-11-41,8
a-75-178,e-c-12-1999-10,8
a-75-184,a-hrc-38-46,8
a-75-184,a-hrc-40-60,8
a-75-210,a-hrc-43-40,8
a-76-202,a-74-183,8
a-76-222,a-hrc-29-25,8
a-77-140,a-hrc-49-51,8
a-77-174,a-hrc-42-38,8
a-77-239,a-76-157,8
a-77-239,a-hrc-48-53,8
a-77-239,e-1992-23,8
a-78-168,a-76-238,8
a-78-175,e-c-12-gc-23,8
a-78-226,a-77-239,8
a-78-364,a-hrc-53-27,8
a-79-176,a-hrc-56-46,8
a-79-180,a-77-162,8
a-79-183,a-78-196,8
a-79-213,crc-gc-2005-6,8
a-79-270,a-hrc-37-59,8
a-79-270,a-hrc-49-53,8
a-80-174,a-77-183,8
a-80-206,a-hrc-54-27,8
a-80-208,e-c-12-1999-10,8
a-80-302,a-72-335,8
a-conf-189-pc-1-7,e-cn-4-1995-91,8
a-hrc-13-40-add-1,a-hrc-10-8,8
a-hrc-14-30,cedaw-2009-wp-1-r,8
a-hrc-18-37,e-c-12-2000-4,8
a-hrc-20-14,a-hrc-16-51,8
a-hrc-20-26,a-hrc-11-12,8
a-hrc-22-51,a-hrc-16-53-add-1,8
a-hrc-23-34,ccpr-c-gc-34,8
a-hrc-27-55,e-c-12-2002-11,8
a-hrc-31-52,a-hrc-25-53,8
a-hrc-33-51,a-hrc-30-38,8
a-hrc-37-58,crc-c-gc-12,8
a-hrc-37-58,crc-c-gc-14,8
a-hrc-37-58,crc-c-gc-17,8
a-hrc-39-45,a-hrc-7-4,8
a-hrc-41-45,a-hrc-38-43,8
a-hrc-44-43,a-hrc-35-33,8
a-hrc-44-47,a-hrc-35-31,8
a-hrc-45-10,a-hrc-30-39,8
a-hrc-45-14,a-hrc-42-43,8
a-hrc-45-16,a-hrc-22-44,8
a-hrc-46-35,a-74-159,8
a-hrc-47-33,a-72-335,8
a-hrc-48-51,a-hrc-45-9,8
a-hrc-48-55,a-hrc-40-60,8
a-hrc-48-55,cedaw-c-gc-35,8
a-hrc-49-46,a-hrc-16-45,8
a-hrc-50-23,a-70-266,8
a-hrc-50-25,a-75-184,8
a-hrc-50-28,e-c-12-gc-22,8
a-hrc-50-31,a-76-257,8
a-hrc-50-60,a-hrc-38-33,8
a-hrc-51-25,a-hrc-42-42,8
a-hrc-51-27,a-hrc-30-43,8
a-hrc-52-34,a-hrc-49-47,8
a-hrc-52-45,a-hrc-25-52,8
a-hrc-53-27,a-hrc-47-32,8
a-hrc-53-27,a-hrc-50-32,8
a-hrc-53-31,ccpr-c-gc-32,8
a-hrc-54-23,e-c-12-2000-4,8
a-hrc-54-25,a-77-183,8
a-hrc-54-25,a-hrc-49-53,8
a-hrc-54-26,a-hrc-45-14,8
a-hrc-54-29,a-hrc-51-25,8
a-hrc-54-71,a-hrc-45-44,8
a-hrc-56-46,a-75-298,8
a-hrc-56-46,a-77-170,8
a-hrc-56-47,a-hrc-55-53,8
